GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.internal,TimerFailedListenerDelegate,2,33,0,2,1,11,1,4,1,3
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.internal,ActivityCompletedListenerDelegate,39,0,4,0,13,0,6,0,4,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.internal,TimerRetriesDecrementedListenerDelegate,2,33,0,2,1,11,1,4,1,3
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.internal,MessageWaitingListenerDelegate,39,0,4,0,13,0,6,0,4,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.internal,TimerCancelledListenerDelegate,2,33,0,2,1,11,1,4,1,3
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.internal,ProcessCompletedListenerDelegate,39,0,4,0,13,0,6,0,4,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.internal,SignalReceivedListenerDelegate,0,39,1,3,0,13,1,5,0,4
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.internal,ProcessUpdatedListenerDelegate,39,0,4,0,13,0,6,0,4,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.internal,ProcessStartedListenerDelegate,39,0,4,0,13,0,6,0,4,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.internal,TimerFiredListenerDelegate,2,33,0,2,1,11,1,4,1,3
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.internal,MessageSentListenerDelegate,39,0,4,0,13,0,6,0,4,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.internal,ActivityCancelledListenerDelegate,39,0,4,0,13,0,6,0,4,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.internal,SequenceFlowTakenListenerDelegate,39,0,4,0,13,0,6,0,4,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.internal,ErrorReceivedListenerDelegate,39,0,4,0,13,0,6,0,4,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.internal,TimerExecutedListenerDelegate,2,33,0,2,1,11,1,4,1,3
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.internal,ProcessCancelledListenerDelegate,39,0,4,0,13,0,6,0,4,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.internal,ProcessCreatedListenerDelegate,39,0,4,0,13,0,6,0,4,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.internal,TimerScheduledListenerDelegate,2,33,0,2,1,11,1,4,1,3
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.internal,ProcessResumedEventListenerDelegate,39,0,4,0,13,0,6,0,4,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.internal,ActivityStartedListenerDelegate,39,0,4,0,13,0,6,0,4,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.internal,MessageSubscriptionCancelledListenerDelegate,57,0,2,0,15,0,8,0,7,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.internal,ProcessSuspendedListenerDelegate,39,0,4,0,13,0,6,0,4,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.internal,MessageReceivedListenerDelegate,39,0,4,0,13,0,6,0,4,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.impl,ExpressionResolver,0,269,0,32,0,70,0,30,0,14
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.impl,MappingExecutionContext,34,50,5,5,8,12,8,5,3,5
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.impl,MappingAwareActivityBehaviorFactory,0,42,0,0,0,8,0,4,0,4
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.impl,EventSubscriptionVariablesMappingProvider,30,0,2,0,8,0,3,0,2,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.impl,ProcessRuntimeImpl,525,79,41,3,126,23,42,3,20,3
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.impl,RuntimeReceiveMessagePayloadEventListener.FindMessageEventSubscription,24,0,0,0,8,0,2,0,2,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.impl,RuntimeSignalPayloadEventListener,14,0,0,0,6,0,2,0,2,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.impl,JsonMessagePayloadMappingProvider,42,0,2,0,12,0,8,0,7,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.impl,MappingAwareCallActivityBehavior,0,40,0,0,0,11,0,4,0,4
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.impl,VariablesMappingProvider,5,297,7,29,3,64,7,21,0,10
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.impl,MappingAwareUserTaskBehavior,0,19,0,0,0,5,0,3,0,3
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.impl,ProcessAdminRuntimeImpl,405,0,38,0,108,0,36,0,17,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.impl,RuntimeReceiveMessagePayloadEventListener,64,0,4,0,14,0,4,0,2,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.impl,ExpressionResolver.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.impl,ProcessVariablesPayloadValidator,43,239,8,28,14,56,13,15,5,5
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.impl,JsonMessagePayloadMappingProviderFactory,9,6,0,0,1,3,1,1,1,1
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.conf,ConnectorsAutoConfiguration,31,0,0,0,6,0,6,0,6,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.conf,ProcessRuntimeAutoConfiguration,687,0,2,0,48,0,71,0,70,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.impl,ToProcessResumedConverter,27,0,2,0,9,0,3,0,2,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.impl,ProcessSuspendedEventImpl,6,0,0,0,3,0,2,0,2,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.impl,ToTimerFiredConverter,0,33,0,2,0,9,0,3,0,2
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.impl,ToActivityCompletedConverter,15,0,0,0,4,0,2,0,2,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.impl,MessageSubscriptionConverter,5,47,0,0,0,16,1,3,1,3
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.impl,ToTimerRetriesDecrementedConverter,0,33,0,2,0,9,0,3,0,2
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.impl,ToTimerCancelledConverter,0,33,0,2,0,9,0,3,0,2
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.impl,ToActivityCancelledConverter,26,0,4,0,7,0,4,0,2,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.impl,ToProcessUpdatedConverter,26,0,2,0,8,0,3,0,2,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.impl,ToAPIProcessStartedEventConverter,30,0,0,0,10,0,2,0,2,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.impl,ProcessCancelledImpl,12,0,0,0,5,0,3,0,3,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.impl,ToProcessSuspendedConverter,26,0,2,0,8,0,3,0,2,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.impl,ProcessUpdatedEventImpl,6,0,0,0,3,0,2,0,2,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.impl,ToTimerExecutedConverter,0,33,0,2,0,9,0,3,0,2
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.impl,ToTimerScheduledConverter,0,33,0,2,0,9,0,3,0,2
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.impl,ToProcessCompletedConverter,18,0,0,0,4,0,2,0,2,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.impl,BPMNTimerConverter,81,0,6,0,18,0,7,0,4,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.impl,ToProcessCancelledConverter,31,0,2,0,6,0,3,0,2,0
Activiti API :: Process Runtime Implementation,org.activiti.runtime.api.event.impl,ProcessStartedEventImpl,46,0,0,0,11,0,7,0,7,0
