GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.internal,TaskCandidateGroupRemovedListenerDelegate,39,0,4,0,13,0,6,0,4,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.internal,TaskCandidateUserAddedListenerDelegate,39,0,4,0,12,0,6,0,4,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.internal,TaskCompletedListenerDelegate,39,0,4,0,13,0,6,0,4,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.internal,TaskCancelledListenerDelegate,39,0,4,0,13,0,6,0,4,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.internal,TaskCandidateGroupAddedListenerDelegate,39,0,4,0,13,0,6,0,4,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.internal,TaskCreatedListenerDelegate,39,0,4,0,13,0,6,0,4,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.internal,TaskCandidateUserRemovedListenerDelegate,39,0,4,0,12,0,6,0,4,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.internal,TaskAssignedListenerDelegate,39,0,4,0,13,0,6,0,4,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.internal,TaskActivatedListenerDelegate,39,0,4,0,13,0,6,0,4,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.internal,TaskUpdatedListenerDelegate,39,0,4,0,13,0,6,0,4,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.internal,TaskSuspendedListenerDelegate,39,0,4,0,13,0,6,0,4,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.impl,TaskVariablesPayloadValidator,15,127,4,10,1,32,4,12,0,9
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.impl,TaskAdminRuntimeImpl,406,0,48,0,91,0,44,0,20,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.impl,TaskRuntimeImpl,946,27,118,0,193,9,79,2,20,2
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.impl,TaskRuntimeHelper,164,264,28,26,44,64,29,19,9,12
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.conf,TaskRuntimeAutoConfiguration,351,0,2,0,27,0,38,0,37,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.impl,ToAPITaskCandidateGroupAddedEventConverter,43,0,8,0,11,0,7,0,3,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.impl,ToTaskActivatedConverter,29,0,2,0,8,0,4,0,3,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.impl,TaskSuspendedImpl,9,0,0,0,5,0,3,0,3,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.impl,ToTaskSuspendedConverter,29,0,2,0,8,0,4,0,3,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.impl,ToTaskCompletedConverter,0,18,0,0,0,4,0,2,0,2
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.impl,TaskUpdatedEventImpl,6,0,0,0,3,0,2,0,2,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.impl,TaskCompletedImpl,2,4,0,0,1,2,1,1,1,1
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.impl,TaskCandidateGroupRemovedImpl,9,0,0,0,5,0,3,0,3,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.impl,ToTaskCandidateGroupRemovedConverter,43,0,8,0,11,0,7,0,3,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.impl,TaskAssignedEventImpl,6,0,0,0,3,0,2,0,2,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.impl,ToAPITaskCreatedEventConverter,17,0,0,0,4,0,2,0,2,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.impl,ToAPITaskAssignedEventConverter,17,0,0,0,4,0,2,0,2,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.impl,TaskCandidateGroupAddedEventImpl,9,0,0,0,5,0,3,0,3,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.impl,TaskCancelledImpl,3,6,0,0,2,3,1,2,1,2
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.impl,TaskCreatedEventImpl,6,0,0,0,3,0,2,0,2,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.impl,ToTaskCandidateUserRemovedConverter,43,0,8,0,11,0,7,0,3,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.impl,ToTaskCancelledConverter,15,78,4,6,5,21,5,4,1,3
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.impl,TaskActivatedImpl,9,0,0,0,5,0,3,0,3,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.impl,TaskCandidateUserRemovedImpl,9,0,0,0,5,0,3,0,3,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.impl,ToAPITaskCandidateUserAddedEventConverter,43,0,8,0,11,0,7,0,3,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.impl,ToAPITaskUpdatedEventConverter,29,0,2,0,8,0,4,0,3,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.event.impl,TaskCandidateUserAddedEventImpl,9,0,0,0,5,0,3,0,3,0
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.model.impl,APITaskConverter,0,104,2,10,0,27,2,8,0,4
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.model.impl,APITaskCandidateUserConverter,0,11,0,0,0,2,0,2,0,2
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.model.impl,APITaskCandidateGroupConverter,0,11,0,0,0,2,0,2,0,2
Activiti API :: Task Runtime Implementation,org.activiti.runtime.api.conf.impl,TaskRuntimeConfigurationImpl,17,0,0,0,6,0,3,0,3,0
