GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Activiti :: Spring Boot Starter,org.activiti.spring.boot,ProcessDefinitionResourceFinderDescriptor,12,28,0,0,1,8,1,6,1,6
Activiti :: Spring Boot Starter,org.activiti.spring.boot,EndpointAutoConfiguration,0,8,0,0,0,2,0,2,0,2
Activiti :: Spring Boot Starter,org.activiti.spring.boot,ActivitiProperties,80,140,0,0,40,45,20,27,20,27
Activiti :: Spring Boot Starter,org.activiti.spring.boot,ActivitiMethodSecurityAutoConfiguration,3,0,0,0,1,0,1,0,1,0
Activiti :: Spring Boot Starter,org.activiti.spring.boot,AbstractProcessEngineConfiguration,0,35,0,0,0,11,0,9,0,9
Activiti :: Spring Boot Starter,org.activiti.spring.boot,DefaultActivityBehaviorFactoryMappingConfigurer,0,27,0,0,0,8,0,2,0,2
Activiti :: Spring Boot Starter,org.activiti.spring.boot,AsyncExecutorProperties,0,173,0,0,0,69,0,35,0,35
Activiti :: Spring Boot Starter,org.activiti.spring.boot,AbstractProcessEngineAutoConfiguration,45,46,2,0,10,11,3,11,2,11
Activiti :: Spring Boot Starter,org.activiti.spring.boot,ProcessEngineAutoConfiguration,26,361,9,15,4,84,9,14,0,11
Activiti :: Spring Boot Starter,org.activiti.spring.boot,ActivitiMethodSecurityAutoConfiguration.ActivitiMethodSecurityConfiguration,0,3,0,0,0,1,0,1,0,1
Activiti :: Spring Boot Starter,org.activiti.spring,AbstractActivitiSmartLifeCycle,8,92,1,3,4,33,3,10,2,9
Activiti :: Spring Boot Starter,org.activiti.spring,StartMessageDeployedEventProducer.FindStartMessageEventSubscriptions,1,35,1,1,0,10,1,3,0,3
Activiti :: Spring Boot Starter,org.activiti.spring,StartMessageDeployedEventProducer.DispatchStartMessageDeployedEvents,14,19,1,1,3,5,1,2,0,2
Activiti :: Spring Boot Starter,org.activiti.spring,ProcessDeployedEventProducer,17,86,1,5,2,22,1,5,0,3
Activiti :: Spring Boot Starter,org.activiti.spring,StartMessageDeployedEventProducer,0,109,1,3,0,29,1,7,0,6
Activiti :: Spring Boot Starter,org.activiti.spring.boot.process.validation,AsyncPropertyValidator,0,86,1,15,0,18,1,11,0,4
Activiti :: Spring Boot Starter,org.activiti.spring.boot.actuate.endpoint,ProcessEngineEndpoint,235,6,8,0,38,3,6,1,2,1
Activiti :: Spring Boot Starter,org.activiti.spring.integration,ActivitiInboundGateway,138,0,4,0,31,0,6,0,4,0
Activiti :: Spring Boot Starter,org.activiti.spring.integration,Activiti,19,0,0,0,4,0,4,0,4,0
Activiti :: Spring Boot Starter,org.activiti.spring.integration,ProcessVariableHeaderMapper,54,0,4,0,12,0,6,0,4,0
Activiti :: Spring Boot Starter,org.activiti.spring.integration,IntegrationActivityBehavior,24,0,0,0,9,0,4,0,4,0
Activiti :: Spring Boot Starter,org.activiti.spring.integration,Activiti.new MessageHandler() {...},29,0,4,0,6,0,4,0,2,0
