GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Activiti :: Process Extensions,org.activiti.spring.process.variable,VariableValidationService,71,0,4,0,15,0,6,0,4,0
Activiti :: Process Extensions,org.activiti.spring.process.variable,VariableParsingService,28,0,2,0,8,0,4,0,3,0
Activiti :: Process Extensions,org.activiti.spring.process,ProcessVariablesInitiator,208,0,20,0,41,0,20,0,10,0
Activiti :: Process Extensions,org.activiti.spring.process,ProcessExtensionResourceReader,66,15,12,0,10,5,8,3,2,3
Activiti :: Process Extensions,org.activiti.spring.process,ProcessExtensionService,111,0,10,0,27,0,13,0,8,0
Activiti :: Process Extensions,org.activiti.spring.process,ProcessExtensionResourceFinderDescriptor,50,0,0,0,12,0,7,0,7,0
Activiti :: Process Extensions,org.activiti.spring.process.conf,ProcessExtensionsAutoConfiguration,116,0,0,0,18,0,12,0,12,0
Activiti :: Process Extensions,org.activiti.spring.process.conf,ProcessExtensionsConfiguratorAutoConfiguration,15,0,0,0,6,0,2,0,2,0
Activiti :: Process Extensions,org.activiti.spring.process.model,Mapping,17,0,0,0,7,0,5,0,5,0
Activiti :: Process Extensions,org.activiti.spring.process.model,ProcessConstantsMapping,3,0,0,0,1,0,1,0,1,0
Activiti :: Process Extensions,org.activiti.spring.process.model,Extension,89,66,18,6,19,12,20,6,9,5
Activiti :: Process Extensions,org.activiti.spring.process.model,Mapping.SourceMappingType,24,0,0,0,3,0,1,0,1,0
Activiti :: Process Extensions,org.activiti.spring.process.model,ProcessExtensionModel,22,0,0,0,8,0,5,0,5,0
Activiti :: Process Extensions,org.activiti.spring.process.model,VariableDefinition,10,0,0,0,4,0,3,0,3,0
Activiti :: Process Extensions,org.activiti.spring.process.model,ProcessVariablesMapping,20,13,0,0,7,3,5,1,5,1
Activiti :: Process Extensions,org.activiti.spring.process.model,ConstantDefinition,10,0,0,0,4,0,3,0,3,0
Activiti :: Process Extensions,org.activiti.spring.process.variable.types,DateVariableType,31,0,0,0,8,0,3,0,3,0
Activiti :: Process Extensions,org.activiti.spring.process.variable.types,VariableType,12,0,0,0,5,0,4,0,4,0
Activiti :: Process Extensions,org.activiti.spring.process.variable.types,JavaObjectVariableType,47,0,2,0,12,0,6,0,5,0
Activiti :: Process Extensions,org.activiti.spring.process.variable.types,JsonObjectVariableType,73,0,4,0,16,0,7,0,5,0
